mesh_id,lon,lat,n_cases,risk_score
14079_03830,140.79588088495575,38.30955256637168,113,0.558573879191221
14079_03831,140.79753922272047,38.31377047832586,669,
14079_03832,140.79371034438776,38.324095255102044,784,
14079_03833,140.79179605633803,38.33174464788733,71,
14080_03821,140.80361265984655,38.217481432225064,391,0.6110917306347685
14080_03822,140.8063622212389,38.222137176991154,1130,0.5982838010096712
14080_03825,140.80507886956522,38.259098173913046,115,0.5437104256102968
14080_03826,140.8050979766949,38.26403114406779,944,
14080_03827,140.80166666666665,38.27055,9,0.622360558725767
14080_03829,140.80962666666667,38.297666666666665,9,
14080_03830,140.80651872340425,38.30691196399345,611,
14080_03831,140.80597778465346,38.31635081683169,808,
14080_03832,140.80444251798562,38.323170683453235,278,
14080_03833,140.80705808333332,38.336679375,240,
14080_03834,140.80397,38.346,4,
14081_03821,140.81406967391305,38.21902380434783,92,0.5765735777278227
14081_03822,140.81302293443665,38.22322608529599,1571,0.5990772466500869
14081_03823,140.8164927463651,38.23362131663975,1238,
14081_03825,140.8135626633166,38.25555195979899,199,
14081_03826,140.81553122292993,38.265358305732484,785,
14081_03827,140.81286111111112,38.273583333333335,18,
14081_03828,140.81570274193547,38.28514153897849,1488,
14081_03829,140.81693108091025,38.293472914032876,1582,
14081_03830,140.8152948033373,38.302625923718715,839,
14081_03831,140.81514850526315,38.31502589473684,950,
14081_03832,140.81215509433963,38.32660169811321,53,
14081_03833,140.81504333333334,38.334537999999995,15,
14081_03834,140.81468458333333,38.34335291666667,24,
14081_03835,140.81187,38.35547,632,0.5447720512107718
14082_03821,140.82751361601885,38.21748067137809,849,0.5608356363957789
14082_03822,140.8255148896797,38.22551345907473,1405,
14082_03823,140.82255982800982,38.232181474201475,407,0.5659886365229606
14082_03824,140.82103,38.24822,1,0.7
14082_03825,140.8237,38.25306,1877,0.7492752856806306
14082_03826,140.82370592760182,38.26642122171946,221,0.5436232583723706
14082_03827,140.82878450980394,38.27615387254902,204,
14082_03828,140.82476640000002,38.28640204166667,1200,0.5338165168021194
14082_03829,140.82498002794858,38.295190598099495,1789,
14082_03830,140.82652002109702,38.303489936708864,474,
14082_03831,140.82497948536832,38.31397725529768,991,
14082_03832,140.82087095238094,38.327858911564626,147,0.6413001513937753
14082_03833,140.8245014511041,38.336894100946374,317,
14082_03834,140.82506552083333,38.34352108630952,672,
14082_03835,140.82573563318778,38.35224174672489,229,
14082_03836,140.82098,38.36617,3,
14083_03821,140.83554114963505,38.217182737226274,548,
14083_03822,140.8350203480826,38.22374254277286,1695,
14083_03823,140.8358585617104,38.23396538872692,2058,0.5583588891202309
14083_03824,140.83361408521304,38.24770093984962,798,0.6734308969726743
14083_03825,140.83331,38.25794324675324,154,
14083_03826,140.83810275342464,38.266322575342464,730,
14083_03827,140.83369444258173,38.27560490360435,1193,
14083_03828,140.8341475760066,38.28498256368118,1217,
14083_03829,140.8354098003802,38.29546673479087,2104,
14083_03830,140.83551963582678,38.30454441437008,2032,
14083_03831,140.8361364874241,38.3132907111882,1153,
14083_03832,140.83541909090908,38.324617272727274,33,0.6035836490444825
14083_03833,140.8368087656904,38.33624558577406,956,
14083_03834,140.83355104060914,38.34438434010152,394,
14084_03820,140.847955,38.20906,4,
14084_03821,140.8472924867725,38.21752689594356,567,
14084_03822,140.84614525121557,38.22540944084278,2468,
14084_03823,140.84570349506578,38.23464225328947,2432,0.5552360181725894
14084_03824,140.84552980672268,38.24209316806723,1190,
14084_03825,140.84655447272726,38.25537152727273,275,
14084_03826,140.84646099777035,38.266686482720175,1794,
14084_03827,140.84479174070717,38.274474247506795,2206,
14084_03828,140.8458704288267,38.28538248957713,1679,
14084_03829,140.84493757218382,38.29504690524604,2459,
14084_03830,140.84527905459387,38.303461611185085,1502,
14084_03831,140.84574467207074,38.31435011053795,1357,
14084_03832,140.84339306122448,38.3210527696793,343,
14084_03833,140.84492197183098,38.337998294209704,639,
14084_03834,140.8424818360656,38.34258052459016,305,0.5360764592658522
14084_03835,140.8475190909091,38.356669090909094,11,0.6092638297203401
14085_03820,140.85543382608697,38.208034695652174,115,
14085_03821,140.85580707275074,38.21416811881188,2323,
14085_03822,140.8559487436419,38.22490185147508,1966,
14085_03823,140.85402193991416,38.23525140772532,3495,
14085_03824,140.8559462742283,38.24348916008614,1393,
14085_03825,140.85367708333334,38.25629479166667,96,
14085_03826,140.85523782551223,38.26663264375413,1513,
